rbd,prom_prioritario
3999,.76086956
9780,.76991153
3169,.64912283
253,.58974361
6496,1
11394,.76237625
9872,.51724136
10844,.73913044
10489,.46031746
291,.53097343
24233,.69999999
1855,.81818181
25089,.76288658
25367,.39655173
1467,.42857143
3743,.84375
5654,.52972972
19923,.92307693
12749,.75714284
11144,.66666669
2930,.5272727
20410,.71428573
10000,.66666669
5131,.84848487
1339,.81818181
224,.62352943
8927,.39285713
8718,.46153846
10607,.68354428
9088,.78666669
14720,.63636363
15745,.54237288
25615,.79245281
9884,.5945946
14608,.47945204
13565,.39285713
10103,.64583331
15787,.50877196
26524,.27272728
8444,.66101694
10264,.75757575
3355,.625
14523,.56097561
24207,.530303
25464,.49425286
8616,.61904764
2362,.63636363
14879,.6880734
7646,.48387095
2736,.66197181
25700,.34782609
5471,.95714283
2949,.46067417
10618,.34065935
9917,.52066118
13558,.72602737
1327,.76666665
24626,.30952382
5104,.4107143
8522,.76923078
3314,.86363637
13388,.31578946
24878,.59859157
40335,.5
6224,.77999997
1748,.56896549
4947,.66666669
25047,.45192307
6774,.69696969
9318,.65384614
10157,.61764705
20348,.59375
2570,.8888889
2234,.62121212
320,.43333334
5087,.88461536
16580,.81818181
4662,.30232558
31016,.61904764
1364,.7096774
25256,.4509804
297,.41463414
16469,.7647059
11711,.72368419
6930,.625
17813,.7352941
6072,.72881359
13104,.79411763
631,.80769229
40383,.56097561
313,.58653843
2986,.69999999
2521,.92307693
8589,.42696628
52,.69780219
5116,1
12244,.36090225
9071,.39506173
1368,.7096774
26271,.80000001
9789,.47058824
5668,.85714287
2078,.78571427
5074,.22222222
40399,.8125
9105,.71186441
25026,.6557377
13387,.55319148
3734,.54545456
6302,.61702126
11845,.52173913
9053,.5
401,.67164177
18237,.41025642
20258,.65591395
7637,.75
4595,.77272725
7341,.7631579
3434,.88235295
9158,.53846157
24623,.55921054
22516,.5714286
2397,.63636363
1425,.71428573
2553,.70930231
580,.33333334
10760,.68421054
10749,.80645162
15624,.51428574
4324,.81818181
1036,.45833334
12767,.69565219
5194,.78125
1550,.375
13202,.56521738
1367,.77419353
13360,.41666666
24995,.40000001
10671,.78571427
13,.7647059
10114,.81132078
433,.66129035
13361,.42592594
8627,.49152541
31054,.55555558
4183,.83999997
10186,.64285713
10699,.66279072
2488,.85714287
14820,.71428573
10750,.51111114
6423,.86666667
12943,.64880955
8485,.38491297
2951,.70588237
5508,.8888889
226,.6056338
5666,.43147209
1588,.5625
5709,.89473683
527,.6111111
24889,.64179105
3548,.86363637
11509,.62295079
7709,.54237288
8682,.44067797
9881,.69047618
6347,.9375
16716,.49438202
13535,.42424244
10320,.61538464
9909,.51685393
5667,.77464789
16600,.53333336
9484,.52380955
1858,.68354428
25198,.39024389
5990,.83333331
1333,.93333334
5583,.8214286
12720,.43478259
22519,.67816091
4531,.62962961
2744,.49462366
14629,.55882353
15676,.23999999
9073,.44736841
7348,.86486489
9,.55263156
20200,.88235295
26025,.5945946
1743,.61904764
14673,.33333334
14819,.40000001
9800,.52631581
